rank,player,season,games_played,tgt,incompletion_rate,int_rate,target_rate,yds_per_tgt,avg_rat,pca_score
6,D.J. Reed,2021,14,88,0.5,0.022727272727272728,0.088,5.761363636363637,70.13571428571429,2.367684751038018
7,Patrick Surtain II,2021,16,96,0.4479166666666667,0.041666666666666664,0.10643015521064302,5.677083333333333,72.75,2.3168455765286757
8,Tavierre Thomas,2021,14,42,0.3333333333333333,0.047619047619047616,0.06583072100313479,5.166666666666667,69.63846153846154,2.1074006107460996
9,Xavien Howard,2021,16,93,0.41935483870967744,0.053763440860215055,0.09064327485380116,6.602150537634409,71.10625,1.8694134442106254
10,Trevon Diggs,2021,16,103,0.36893203883495146,0.10679611650485436,0.09537037037037037,8.805825242718447,67.16875,1.858705069314626
11,Kristian Fulton,2021,13,72,0.4583333333333333,0.027777777777777776,0.0898876404494382,6.888888888888889,68.58461538461539,1.6723811203592447
12,Jalen Ramsey,2021,16,98,0.3673469387755102,0.04081632653061224,0.07722616233254531,6.36734693877551,68.11875,1.5690892332600601
13,Denzel Ward,2021,15,78,0.358974358974359,0.038461538461538464,0.0911214953271028,5.576923076923077,75.92,1.5295432774928222
14,Taron Johnson,2021,16,69,0.43478260869565216,0.014492753623188406,0.06955645161290322,5.739130434782608,74.94666666666667,1.4881391734448868
15,Chidobe Awuzie,2021,14,91,0.3956043956043956,0.02197802197802198,0.0873320537428023,5.428571428571429,79.92857142857143,1.3335190556219325
16,Levi Wallace,2021,17,81,0.3950617283950617,0.024691358024691357,0.07245080500894455,5.802469135802469,76.15,1.3093112138982326
17,Darius Slay,2021,16,85,0.3764705882352941,0.03529411764705882,0.08292682926829269,6.294117647058823,74.71875,1.2008166184220133
18,Charvarius Ward,2021,13,76,0.4605263157894737,0.02631578947368421,0.08128342245989305,6.723684210526316,79.35384615384615,1.0864662905628675
19,Anthony Brown,2021,16,122,0.4426229508196721,0.02459016393442623,0.1096136567834681,6.852459016393443,80.01875,0.9196718212996462
20,Anthony Averett,2021,14,101,0.4158415841584158,0.0297029702970297,0.125,7.603960396039604,76.88571428571429,0.7407204251672368
21,Michael Davis,2021,14,86,0.45348837209302323,0.011627906976744186,0.10082063305978899,6.209302325581396,87.71428571428571,0.618228395313008
22,Nik Needham,2021,15,63,0.31746031746031744,0.031746031746031744,0.10378912685337727,7.285714285714286,75.90666666666667,0.27385351552738146
23,Kenny Moore,2021,17,121,0.2975206611570248,0.03305785123966942,0.11382878645343368,6.305785123966942,83.54117647058824,0.2196523993107389
24,Mike Hughes,2021,14,61,0.39344262295081966,0.01639344262295082,0.10032894736842106,6.950819672131147,83.83846153846154,0.1670214781097454
25,Avonte Maddox,2021,16,74,0.22972972972972974,0.013513513513513514,0.09475032010243278,5.5675675675675675,79.1875,0.09145414878822668
