,player_x,total_targets,incompletion_rate,int_rate,target_rate,avg_passer_rating,wcs,label
1,Darius Slay,159,0.3710691823899371,0.031446540880503145,0.03260200943202789,82.05000000000001,8.15583085243158,0.9
2,Jaire Alexander,145,0.3448275862068966,0.04827586206896552,0.04807692307692308,88.0,7.577377627094849,0.95
3,Marshon Lattimore,146,0.4246575342465753,0.0136986301369863,0.04006586169045005,79.4,6.683877798356124,1.0
4,Patrick Surtain,168,0.39285714285714285,0.017857142857142856,0.0401625627540043,85.4,2.986480073025506,0.85
5,James Bradberry,187,0.44919786096256686,0.0213903743315508,0.04367118169079869,82.95,2.6425684317293516,0.65
6,Denzel Ward,135,0.4148148148148148,0.037037037037037035,0.037282518641259324,66.30000000000001,2.488556953165714,0.8
7,Charvarius Ward,204,0.4166666666666667,0.029411764705882353,0.0419063270336894,73.45,2.3291241835582097,0.75
8,Stephon Gilmore,184,0.41847826086956524,0.021739130434782608,0.04709495776810852,78.35,2.1996727051401685,0.75
9,DJ Reed,165,0.37575757575757573,0.012121212121212121,0.036303630363036306,81.75,2.031817920768514,0.7
10,Ahmad Gardner,141,0.4397163120567376,0.014184397163120567,0.05042918454935622,71.5,1.9936382542737687,0.85
11,Marlon Humphrey,124,0.3870967741935484,0.03225806451612903,0.02990113334940921,74.19999999999999,1.701057878795529,0.7
12,Trent McDuffie,127,0.3937007874015748,0.0,0.03848484848484848,90.45,1.3366638661740917,0.8
13,LJarius Sneed,228,0.39473684210526316,0.021929824561403508,0.05188893946290396,77.39999999999999,1.307724515764204,0.75
14,Xavien Howard,84,0.39285714285714285,0.011904761904761904,0.022502009107956068,101.2,0.724836583742895,0.65
15,Tariq Woolen,137,0.39416058394160586,0.058394160583941604,0.04938716654650324,64.25,-1.52097065881678,0.55
16,TreDavious White,61,0.4426229508196721,0.03278688524590164,0.022085445329471397,67.53333333333333,-1.857470718900286,0.6
17,Paulson Adebo,241,0.37344398340248963,0.029045643153526972,0.08054812834224599,84.73333333333333,-2.0456047890391993,0.5
18,Darious Williams,91,0.4945054945054945,0.0,0.01800910350286958,68.7,-2.197803582293863,0.4
19,Patrick Peterson,89,0.34831460674157305,0.056179775280898875,0.020896924160601082,79.6,-2.1981629590609613,0.6
20,Carlton Davis,93,0.43010752688172044,0.010752688172043012,0.021949492565494454,82.8,-2.2631650421603187,0.55
21,Chidobe Awuzie,76,0.5394736842105263,0.013157894736842105,0.026592022393282014,71.55,-2.3937673682670275,0.45
22,Greg Newsome,187,0.39572192513368987,0.016042780748663103,0.06292059219380888,90.63333333333333,-2.5126670016518178,0.55
23,AJ Terrell,156,0.4423076923076923,0.0,0.03362068965517241,97.6,-2.6006412177180294,0.5
24,Levi Wallace,182,0.41208791208791207,0.03296703296703297,0.05217889908256881,91.03333333333335,-2.709800950655978,0.45
25,Marco Wilson,133,0.3609022556390977,0.022556390977443608,0.05271502179944511,93.7,-2.8394250326885917,0.4
26,Cameron Sutton,193,0.40932642487046633,0.02072538860103627,0.04593050928129462,92.23333333333333,-2.8572707436354303,0.4
27,Kristian Fulton,128,0.3515625,0.015625,0.0420914172969418,96.10000000000001,-3.088234678330605,0.5
28,Donte Jackson,116,0.27586206896551724,0.017241379310344827,0.03330462245190927,99.1,-3.2214775882533213,0.4
29,Byron Murphy,159,0.32075471698113206,0.018867924528301886,0.03760643330179754,100.44999999999999,-3.5610761870015573,0.4
30,Adoree Jackson,189,0.41798941798941797,0.005291005291005291,0.06465959630516592,89.2,-3.655995993791678,0.6
31,Michael Davis,180,0.39444444444444443,0.011111111111111112,0.049019607843137254,93.83333333333333,-5.374045920041665,0.35
32,Asante Samuel,201,0.39303482587064675,0.01990049751243781,0.0651750972762646,90.76666666666667,-5.3944555714560565,0.2
