season,player_id,player_name,targets,comp_allowed,incompletions,interceptions,td_allowed,yards_allowed,comp_pct_allowed,int_rate,td_rate_allowed,yds_per_target,incompletion_rate,player_short_x,season_snaps,player_short_y,career_snaps,target_rate,target_rate_vs_avg
2020,00-0033926,S.Griffin,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,S.Griffin,805.0,S.Griffin,3071.0,0.12422360248447205,-0.9400206889254592
2020,00-0033927,J.Johnson,2,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,J.Johnson,3431.0,,
2020,00-0033928,J.Lewis,2,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,J.Lewis,817.0,J.Lewis,3622.0,0.24479804161566704,-0.8194462497942643
2020,00-0033930,C.Sutton,8,0.0,7.0,1.0,0,0.0,0.0,0.125,0.0,0.0,0.875,C.Sutton,582.0,C.Sutton,4202.0,1.3745704467353952,0.3103261553254639
2020,00-0034203,D.Williams,14,0.0,10.0,4.0,0,0.0,0.0,0.2857142857142857,0.0,0.0,0.7142857142857143,D.Williams,913.0,D.Williams,5209.0,1.5334063526834611,0.4691620612735299
2020,00-0034356,D.Jackson,11,0.0,8.0,3.0,0,0.0,0.0,0.2727272727272727,0.0,0.0,0.7272727272727273,D.Jackson,193.0,D.Jackson,6041.0,5.699481865284974,4.635237573875043
2020,00-0034376,T.Johnson,5,0.0,4.0,1.0,1,0.0,0.0,0.2,0.2,0.0,0.8,T.Johnson,957.0,T.Johnson,4893.0,0.522466039707419,-0.5417782517025123
2020,00-0034384,D.Reed,7,0.0,5.0,2.0,0,0.0,0.0,0.2857142857142857,0.0,0.0,0.7142857142857143,D.Reed,536.0,D.Reed,4545.0,1.3059701492537312,0.24172585784379996
2020,00-0034468,C.Sullivan,6,0.0,5.0,1.0,1,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.8333333333333334,C.Sullivan,787.0,C.Sullivan,3082.0,0.7623888182973316,-0.30185547311259964
2020,00-0034514,L.Wallace,8,0.0,6.0,2.0,0,0.0,0.0,0.25,0.0,0.0,0.75,L.Wallace,592.0,L.Wallace,3488.0,1.3513513513513513,0.28710705994142005
2020,00-0034573,C.Ward,6,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,C.Ward,946.0,C.Ward,4868.0,0.6342494714587738,-0.4299948199511575
2020,00-0034728,J.Alexander,13,0.0,12.0,1.0,0,0.0,0.0,0.07692307692307693,0.0,0.0,0.9230769230769231,J.Alexander,966.0,J.Alexander,3016.0,1.3457556935817805,0.2815114021718492
2020,00-0034778,C.Davis,18,0.0,13.0,5.0,0,0.0,0.0,0.2777777777777778,0.0,0.0,0.7222222222222222,C.Davis,1042.0,C.Davis,4237.0,1.727447216890595,0.6632029254806637
2020,00-0034856,D.Ward,18,0.0,15.0,3.0,0,0.0,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,D.Ward,596.0,D.Ward,3621.0,3.0201342281879198,1.9558899367779885
2020,00-0034903,T.Campbell,3,0.0,2.0,1.0,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,T.Campbell,325.0,T.Campbell,4531.0,0.9230769230769231,-0.14116736833300814
2020,00-0035144,M.Wilson,2,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,M.Wilson,2523.0,,
2020,00-0035236,B.Murphy,8,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,B.Murphy,587.0,B.Murphy,4228.0,1.362862010221465,0.29861771881153376
2020,00-0035239,S.Murphy-Bunting,3,0.0,2.0,1.0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,S.Murphy-Bunting,1000.0,S.Murphy-Bunting,3588.0,0.3,-0.7642442914099312
2020,00-0035270,A.Oruwariye,7,0.0,6.0,1.0,0,0.0,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,A.Oruwariye,1028.0,A.Oruwariye,2729.0,0.6809338521400778,-0.3833104392698534
2020,00-0035699,J.Dean,7,0.0,6.0,1.0,1,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.8571428571428571,J.Dean,844.0,J.Dean,4122.0,0.8293838862559242,-0.23486040515400708
2020,00-0036166,D.Jackson,5,0.0,4.0,1.0,0,0.0,0.0,0.2,0.0,0.0,0.8,D.Jackson,193.0,D.Jackson,6041.0,2.5906735751295336,1.5264292837196023
2020,00-0036285,A.Terrell,7,0.0,6.0,1.0,0,0.0,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,A.Terrell,667.0,A.Terrell,4640.0,1.0494752623688157,-0.014769029041115544
2020,00-0036292,J.Johnson,15,0.0,13.0,2.0,0,0.0,0.0,0.13333333333333333,0.0,0.0,0.8666666666666667,,,J.Johnson,3431.0,,
2020,00-0036361,T.Diggs,14,0.0,11.0,3.0,0,0.0,0.0,0.21428571428571427,0.0,0.0,0.7857142857142857,T.Diggs,586.0,T.Diggs,3716.0,2.3890784982935154,1.324834206883584
2020,00-0036374,L.Sneed,7,0.0,4.0,3.0,0,0.0,0.0,0.42857142857142855,0.0,0.0,0.5714285714285714,L.Sneed,473.0,L.Sneed,4394.0,1.4799154334038054,0.4156711419938741
2020,00-0036416,K.Fulton,1,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,K.Fulton,115.0,K.Fulton,3041.0,0.8695652173913043,-0.19467907401862694
2021,00-0027943,P.Peterson,5,0.0,4.0,1.0,1,0.0,0.0,0.2,0.2,0.0,0.8,P.Peterson,885.0,P.Peterson,4259.0,0.5649717514124294,-0.4992725399975019
2021,00-0029542,S.Gilmore,2,0.0,0.0,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,S.Gilmore,305.0,S.Gilmore,3909.0,0.6557377049180327,-0.4085065864918985
2021,00-0029568,M.Jackson,4,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,M.Jackson,25.0,M.Jackson,2853.0,16.0,14.935755708590069
2021,00-0030062,D.Slay,9,0.0,6.0,3.0,1,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.6666666666666666,D.Slay,1025.0,D.Slay,4877.0,0.878048780487805,-0.18619551092212627
2021,00-0031041,K.Fuller,4,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,K.Fuller,1004.0,K.Fuller,5378.0,0.398406374501992,-0.6658379169079393
2021,00-0031785,T.Hill,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,T.Hill,534.0,T.Hill,3074.0,0.18726591760299627,-0.876978373806935
